#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 04 21 20 120  6.1  7.6  0.73 16.00  6.38 196 1007.4   6.3   8.8 999.0 99.0 99.00
2020 04 04 21 50 112  5.4  6.4  0.66 10.81  4.45 236 1007.2   6.4   8.8 999.0 99.0 99.00
2020 04 04 22 20  94  4.6  5.4  0.78 12.12  4.24 258 1006.8   6.3   8.9 999.0 99.0 99.00
2020 04 04 22 50 101  2.1  3.3  0.72 10.81  4.27 296 1006.6   6.4   8.9 999.0 99.0 99.00
2020 04 04 23 20 117  2.8  3.5  0.76 12.12  5.12 253 1006.2   6.4   9.0 999.0 99.0 99.00
2020 04 04 23 50 101  2.4  3.6  0.70 16.00  5.28 195 1006.0   6.7   8.9 999.0 99.0 99.00
2020 04 05 00 20  91  2.8  3.7  0.63 14.81  5.51 233 1005.8   7.0   8.9 999.0 99.0 99.00
2020 04 05 00 50  99  3.1  4.2  0.63 11.43  5.73 269 1005.7   6.8   8.9 999.0 99.0 99.00
2020 04 05 01 20  22  1.9  2.8  0.67 14.81  6.76 212 1005.5   6.6   8.9 999.0 99.0 99.00
2020 04 05 01 50   9  2.5  3.7  0.68 11.43  6.46 270 1005.4   6.7   8.8 999.0 99.0 99.00
2020 04 05 02 20  21  2.1  2.8  0.66 14.81  6.40 258 1005.3   6.9   8.8 999.0 99.0 99.00
2020 04 05 02 50   1  3.0  3.7  0.68 11.43  6.25 264 1005.0   6.7   8.8 999.0 99.0 99.00
2020 04 05 03 20  11  2.2  3.1  0.65 11.43  6.03 282 1004.9   6.7   8.8 999.0 99.0 99.00
2020 04 05 03 50   6  2.7  3.4  0.70 11.43  6.26 255 1004.7   6.8   8.7 999.0 99.0 99.00
2020 04 05 04 20  20  3.7  4.7  0.63 11.43  6.13 256 1004.6   6.7   8.6 999.0 99.0 99.00
2020 04 05 04 50  37  3.2  3.9  0.69 11.43  6.68 264 1004.4   6.7   8.5 999.0 99.0 99.00
2020 04 05 05 20  70  6.0  7.5  0.66 11.43  7.05 276 1004.1   7.2   8.5 999.0 99.0 99.00
2020 04 05 05 50  47  3.3  4.4  0.67 10.81  7.22 263 1004.2   6.9   8.5 999.0 99.0 99.00
2020 04 05 06 20  65  4.5  6.3  0.63 10.81  6.44 270 1004.1   7.0   8.6 999.0 99.0 99.00
2020 04 05 06 50  81  6.7  7.6  0.61 14.81  6.26 260 1003.8   7.1   8.6 999.0 99.0 99.00
2020 04 05 07 20  80  5.9  6.9  0.67 10.81  6.51 257 1003.7   7.0   8.7 999.0 99.0 99.00
2020 04 05 07 50  80  6.1  7.0  0.65 10.81  5.74 273 1003.7   7.0   8.6 999.0 99.0 99.00
2020 04 05 08 20  79  5.8  7.0  0.65 10.81  5.99 265 1003.4   7.0   8.6 999.0 99.0 99.00
2020 04 05 08 50  59  6.4  7.0  0.68 10.81  5.72 275 1003.3   6.8   8.6 999.0 99.0 99.00
2020 04 05 09 20  47  6.0  6.9  0.71 10.81  5.71 254 1003.2   6.8   8.6 999.0 99.0 99.00
2020 04 05 09 50  49  5.7  6.8  0.65 10.81  5.35 285 1003.1   6.6   8.5 999.0 99.0 99.00
2020 04 05 10 20  60  6.3  7.3  0.72 10.81  5.72 265 1003.0   6.6   8.5 999.0 99.0 99.00
2020 04 05 10 50  66  6.3  7.4  0.71 10.81  5.45 261 1002.9   6.9   8.5 999.0 99.0 99.00
2020 04 05 11 20  67  6.4  7.3  0.77 10.81  5.32 270 1002.9   6.8   8.5 999.0 99.0 99.00
2020 04 05 11 50  70  6.5  7.6  0.76 10.00  5.86 281 1003.0   7.0   8.5 999.0 99.0 99.00
2020 04 05 12 20  69  6.4  7.2  0.73 10.00  5.79 267 1003.1   6.7   8.5 999.0 99.0 99.00
2020 04 05 12 50  62  5.6  6.9  0.77 10.81  5.96 263 1003.2   6.7   8.5 999.0 99.0 99.00
2020 04 05 13 20  52  5.5  6.4  0.76 10.00  6.06 263 1003.2   6.6   8.5 999.0 99.0 99.00
2020 04 05 13 50  57  4.9  5.5  0.68 10.81  5.61 277 1003.3   6.5   8.5 999.0 99.0 99.00
2020 04 05 14 20  63  4.7  5.5  0.74 10.81  5.71 263 1003.4   6.6   8.5 999.0 99.0 99.00
